Borough,CensusTract,MeanCommute,Transit,Income,Poverty,Unemployment,WorkAtHome
Bronx,36005007100,44.4,68.3,38289,28.8,16.5,1.4
Bronx,36005008600,46.2,61.7,23045,39.1,9.4,0.6
Bronx,36005008700,44.5,70.7,29188,30.4,8.3,6.0
Bronx,36005029301,37.6,41.7,102045,10.4,10.8,9.0
Bronx,36005029302,46.3,38.0,94695,1.4,6.3,6.6
Bronx,36005030900,45.9,40.8,87238,3.1,5.5,10.3
Bronx,36005032600,39.8,35.1,56429,6.5,10.7,1.2
Bronx,36005033201,44.4,61.6,43038,22.3,14.8,3.7
Bronx,36005030701,42.8,38.1,80846,7.8,4.4,8.5
Bronx,36005033202,42.1,54.5,40638,23.1,17.3,0.3
Bronx,36005033500,39.2,43.0,86983,6.5,8.4,7.9
Bronx,36005033700,43.0,34.4,83917,5.8,8.0,6.0
Bronx,36005034800,52.5,60.6,36156,21.8,17.7,4.8
Bronx,36005036000,40.6,41.8,65938,7.9,15.3,0.0
Bronx,36005037504,42.1,60.8,15707,51.7,19.2,5.0
Bronx,36005038301,43.5,61.0,26295,39.9,16.2,6.3
Bronx,36005038302,52.2,79.6,22917,49.3,18.9,2.9
Bronx,36005039500,45.4,57.8,25702,34.7,12.7,5.5
Bronx,36005040303,46.8,75.2,40731,34.9,13.7,2.8
Bronx,36005023502,40.7,75.0,21582,41.8,17.1,6.0
Manhattan,36061019100,31.4,70.0,83188,10.2,5.0,5.7
Manhattan,36061019701,31.2,70.3,72000,36.9,8.1,8.6
Manhattan,36061020600,33.0,71.3,39468,25.1,8.2,4.7
Manhattan,36061021800,34.4,75.6,47155,39.0,12.5,6.9
Manhattan,36061000900,26.1,51.9,147500,6.0,2.8,10.4
Bronx,36005025100,40.9,72.9,28615,34.6,10.0,0.0
Bronx,36005025500,42.1,67.9,19458,50.3,17.2,3.4
Bronx,36005026400,37.7,34.0,72019,14.2,9.1,3.8
Bronx,36005033600,39.4,53.4,26071,31.6,13.0,0.6
Bronx,36005034300,43.2,42.7,71780,11.8,8.3,3.9
Bronx,36005002000,46.0,68.2,18086,53.2,17.2,0.0
Bronx,36005006900,38.3,63.8,19741,44.0,16.7,4.9
Manhattan,36061003601,23.9,53.1,44286,32.9,14.8,5.3
Manhattan,36061004500,24.1,53.9,139079,3.8,3.3,17.3
Manhattan,36061005502,27.5,61.0,138523,12.8,4.4,6.7
Manhattan,36061005600,25.3,68.2,115521,19.6,11.4,5.9
Manhattan,36061006200,24.8,40.1,82102,36.9,7.4,3.8
Manhattan,36061007700,22.8,54.9,127729,3.5,4.2,8.7
Manhattan,36061008000,23.6,32.2,110242,10.5,4.9,12.4
Manhattan,36061009000,26.8,37.0,119196,8.9,2.2,8.4
Manhattan,36061009200,25.5,37.2,122379,5.4,1.7,7.4
Manhattan,36061028300,46.4,68.9,49612,12.3,6.1,4.6
Manhattan,36061029100,45.0,66.3,28743,28.9,21.1,3.4
Manhattan,36061029500,42.0,65.3,65160,14.7,13.1,9.5
Manhattan,36061025500,29.7,49.4,50228,28.8,11.7,11.8
Manhattan,36061022200,36.4,80.3,32361,42.8,6.8,4.9
Manhattan,36061012500,23.4,36.4,150682,8.8,3.1,3.1
Manhattan,36061020101,18.5,38.4,82353,16.2,4.2,10.6
Manhattan,36061007800,29.6,41.7,120205,7.6,6.9,6.1
Manhattan,36061011202,17.1,10.3,192857,4.5,0.0,13.5
Manhattan,36061017401,39.6,68.4,21435,36.6,10.4,9.5
Manhattan,36061020701,19.7,31.4,60798,29.6,2.4,13.1
Manhattan,36061003200,30.8,59.7,71033,10.9,4.4,6.7
Manhattan,36061014601,32.2,68.8,120257,3.8,2.6,5.7
Manhattan,36061016500,33.9,71.2,126346,6.2,4.1,11.6
Manhattan,36061027900,37.4,65.5,48242,14.9,9.6,4.9
Manhattan,36061011203,20.9,27.1,128083,10.9,1.9,7.2
Manhattan,36061018400,36.6,70.3,25581,33.2,9.6,2.1
Manhattan,36061000202,30.9,41.5,29684,24.6,15.1,7.0
Manhattan,36061001502,23.7,60.8,133209,8.3,3.5,5.8
Manhattan,36061002202,29.1,58.4,68750,17.4,5.5,2.9
Manhattan,36061002700,26.5,49.2,57171,11.8,4.5,4.0
